ts_code,list_date,delist_date
ARHOF,20170120,
ARHTF,19600101,
ARHUF,20140627,
ARHVF,20110706,
ARI,20090924,
ARINA,19870612,
ARIZF,19600101,
ARKAF,20140113,
ARKAY,20060505,
ARKR,19851212,
ARKTF,20140113,
ARL,19691002,
ARLCF,20191220,
ARLLF,20171201,
ARLO,20180803,
ARLP,19990817,
ARLUF,20140131,
ARMC,20100308,
ARME,20010109,
ARMK,20131212,
ARMP,19940520,
ARMVF,20120328,
ARMZF,20140113,
ARNA,20000727,
ARNC,20200401,
ARNGF,20100315,
ARNI,20060823,
AROC,20070821,
AROSF,20130927,
AROW,19800806,
ARPC,19980709,
ARPO,20170808,
ARPTF,20190607,
ARQT,20200131,
ARR,20071203,
ARRAF,20140304,
ARREF,19931008,
ARRJF,20180821,
ARRLF,20180110,
ARRPRC,20200127,
ARRPY,20180216,
ARRRF,20170621,
ARRT,20121010,
ARRXF,20190813,
ARSC,19980804,
ARSEF,20140113,
ARSLF,20140113,
ARSN,20150910,
ARSP,20100713,
ARSRF,20160608,
ARSSF,20200317,
ARST,20110916,
ARSUF,20140424,
ARTAF,20150805,
ARTD,20000328,
ARTH,20160602,
ARTL,20171114,
ARTM,20020124,
ARTNA,19930630,
ARTNB,19840920,
ARTR,20100512,
ARTTF,20170808,
ARTW,19721214,
ARTZF,20140113,
ARUXF,20140113,
ARVCF,19940617,
ARVN,20180927,
ARVY,20060306,
ARW,19620702,
ARWD,20120724,
ARWGF,20170331,
ARWJF,19600101,
ARWR,20010418,
ARXRF,19600101,
ARXXL,20180202,
ARYA,20181212,
ARYAU,20181005,
ARYBU,20200605,
ARYC,20010405,
ARYMF,20140113,
ARYX,20071106,
ARZGF,20140113,
ARZGY,20081024,
ARZTF,20080609,
ARZTY,20100816,
ASAGF,20040713,
ASAM,19990806,
ASASF,20110512,
ASAZF,20140113,
ASAZY,20080429,
ASB,19751208,
ASBFF,20140113,
ASBFY,19920626,
ASBPRC,20180319,
ASBPRD,20180319,
ASBPRE,20180920,
ASBPRF,20200611,
ASBRF,20140113,
ASBRY,20081013,
ASC,20130801,
ASCBQ,20000104,
ASCC,20120313,
ASCCF,20140113,
ASCCY,20141112,
ASCJF,20130429,
ASCK,20160614,
ASCLF,20191119,
ASCN,19930415,
ASDN,20100927,
ASDOF,20140113,
ASDRF,20110418,
ASDZF,19600101,
ASEJF,19961210,
ASEKF,20140113,
ASEKY,20081205,
ASFI,19951114,
ASFJ,19900220,
ASFT,20180209,
ASFX,19961119,
ASFZ,20000410,
ASGLF,20071009,
ASGLY,19750106,
ASGN,19920922,
ASGOF,20120502,
ASGRF,20200128,
ASGTF,20120724,
ASGXF,20001004,
ASH,19620702,
ASHS,20140521,
ASHTF,20140113,
ASHTY,20140702,
ASHXF,19600101,
ASIN,20080404,
ASIX,20160916,
ASKDF,20120731,
ASKE,20100406,
ASKH,20130129,
ASKTF,20131209,
ASLEF,20161004,
ASLM,19750131,
ASLN,20180504,
ASLRF,20140113,
ASM,19970829,
ASMB,20101218,
ASMIY,19810512,
ASML,19950315,
ASMLF,20130315,
ASMVF,20140113,
ASMVY,20120307,
ASMXF,20200316,
ASNA,19830504,
ASNB,19960604,
ASNCF,20140113,
ASND,20150128,
ASNHF,20110208,
ASNT,20150216,
ASNXF,20130509,
