date,code,close,preclose,volume,isST,MA 10,MA 20,MA 50,MA 150,MA 200,VMA 20,VMA 50,volatility,volatility_max,vscore,score,total_score
2015/12/16,sz.300059,57.7,58.23,48760409,0,57.073,58.7005,56.5278,57.0798,53.62695,73187809.8,97399122.1,0.017203202,0.033445378,4.993752721,0,4.993752721
2015/12/17,sz.300059,59.38,57.7,95129674,0,57.11,58.5295,56.9238,56.92653333,53.7176,73860127.95,97754004.88,0.019049253,0.049029286,0.268462748,0,0.268462748
2015/12/18,sz.300059,57.59,59.38,63025002,0,57.15,58.362,57.2896,56.7064,53.7993,73104892,97384862,0.02257298,0.037780401,3.52825473,0,3.52825473
2015/12/21,sz.300059,57.62,57.59,52168401,0,57.153,58.2025,57.5864,56.5278,53.88115,72029428.55,95560661.88,0.002784546,0.022417658,4.540807904,0,4.540807904
2015/12/22,sz.300059,58.27,57.62,48192544,0,57.512,57.968,57.8766,56.40973333,53.96625,70533107.35,94558101.3,0.006390328,0.022108844,4.903393434,0,4.903393434
2015/12/23,sz.300059,56.51,58.27,61898384,0,57.736,57.5235,58.1228,56.27366667,54.04255,67865520.05,94025360,0.031035665,0.039007699,3.416841584,0,3.416841584
2015/12/24,sz.300059,57.44,56.51,46130602,0,57.821,57.3025,58.2992,56.13693333,54.1235,65716341.45,92287932.78,0.022064057,0.035850364,5.001448119,0,5.001448119
2015/12/25,sz.300059,55.7,57.44,55668300,0,57.744,57.177,58.3436,55.99626667,54.19575,63794163.15,90487062.64,0.029278494,0.036553525,3.847927165,0,3.847927165
2015/12/28,sz.300059,54.03,55.7,59331974,0,57.247,57.043,58.3624,55.84113333,54.25965,62232180.2,89096492.64,0.026837176,0.037776194,-5,0,-5
2015/12/29,sz.300059,53.38,54.03,36120524,0,56.762,56.9105,58.3156,55.69493333,54.3203,61235354.35,87750369.02,0.01694291,0.029357798,-5,0,-5
2015/12/30,sz.300059,54.23,53.38,42808005,0,56.415,56.744,58.3962,55.53146667,54.3852,60022839.95,86042390.36,0.004631345,0.023366192,-5,0,-5
2015/12/31,sz.300059,52.03,54.23,38719563,0,55.68,56.395,58.368,55.36353333,54.4391,57609543.85,84015714.56,0.041098415,0.041282713,-5,0,-5
2016/1/4,sz.300059,46.83,52.03,55350641,0,54.604,55.877,58.2356,55.11573333,54.467,57092211.65,82826705.64,0.092089957,0.097687861,-5,0,-5
2016/1/5,sz.300059,44.29,46.83,86008930,0,53.271,55.212,58.0774,54.88753333,54.4822,58429800.55,82239016.42,0.03,0.070893879,-5,0,-5
2016/1/6,sz.300059,45.55,44.29,93895337,0,51.999,54.7555,57.84,54.7052,54.5037,60091157.15,81177101.64,0.017649687,0.079111878,-5,0,-5
2016/1/7,sz.300059,41,45.55,29631255,0,50.448,54.092,57.5598,54.48326667,54.50245,59533092.85,79020164.3,0.065633546,0.065633546,-5,0,-5
2016/1/8,sz.300059,41.4,41,92572506,0,48.844,53.3325,57.2876,54.2332,54.5032,59577825.6,78738293.72,0.004807692,0.102552204,-5,0,-5
2016/1/11,sz.300059,39.9,41.4,86178896,0,47.264,52.504,57.0172,53.92053333,54.5556,61057309.5,78416249.28,0.002512563,0.089965398,-5,0,-5
2016/1/12,sz.300059,41.66,39.9,94702437,0,46.027,51.637,56.822,53.56173333,54.6168,62225439.85,78805571.62,0.013625304,0.063140727,-5,0,-5
2016/1/13,sz.300059,39.49,41.66,70238635,0,44.638,50.7,56.5734,53.1462,54.66715,62826600.95,78890466.74,0.054810914,0.058711217,-5,0,-5
2016/1/14,sz.300059,42.95,39.49,135367253,0,43.51,49.9625,56.2902,52.81653333,54.7348,67156943.15,78878542.62,0.127296588,0.135359116,-5,0,-5
2016/1/15,sz.300059,41.27,42.95,90784308,0,42.434,49.057,55.94,52.50933333,54.79405,66939674.85,77020819.72,0.024349882,0.045925577,-5,0,-5
2016/1/18,sz.300059,42.93,41.27,95041808,0,42.044,48.324,55.5054,52.22986667,54.8616,68540515.15,76358516.62,0.044525547,0.069714803,-5,0,-5
2016/1/19,sz.300059,44.49,42.93,104915075,0,42.064,47.6675,55.0502,51.94046667,54.93695,71177848.85,75607102.68,0.03225058,0.063192905,-5,0,-5
2016/1/20,sz.300059,42.66,44.49,94452720,0,41.775,46.887,54.5568,51.65993333,55.00315,73490857.65,75665892.3,0.009749304,0.043943534,-5,0,-5
2016/1/21,sz.300059,40.77,42.66,69458300,0,41.752,46.1,54.048,51.3804,55.0599,73868853.45,75462939.54,0.026968974,0.062801932,-5,0,-5
2016/1/22,sz.300059,41.2,40.77,64500227,0,41.732,45.288,53.6012,51.15886667,55.1188,74787334.7,74437889.66,0.003868472,0.058583433,-5,0,-5
2016/1/25,sz.300059,40.73,41.2,51722055,0,41.815,44.5395,53.1532,50.93286667,55.17535,74590022.45,73824201.98,0.009002433,0.027677497,-5,0,-5
2016/1/26,sz.300059,37.11,40.73,70668711,0,41.36,43.6935,52.5544,50.633,55.2138,75156859.3,73556564.66,0.079156328,0.090437361,-5,0,-5
2016/1/27,sz.300059,38.28,37.11,86137763,0,41.239,42.9385,52.06,50.39486667,55.2581,77657721.25,72548767.42,0.03152789,0.076188017,-5,0,-5
2016/1/28,sz.300059,36.68,38.28,56039034,0,40.612,42.061,51.5876,50.1394,55.2944,78319272.7,71812301.2,0.025245815,0.040907891,-5,0,-5
2016/1/29,sz.300059,38.55,36.68,76729460,0,40.34,41.387,51.1026,49.87506667,55.34005,80219767.55,71713224.18,0.053854565,0.067688378,-5,0,-5
2016/2/1,sz.300059,37.62,38.55,53747676,0,39.809,40.9265,50.6362,49.6258,55.38105,80139619.3,71225583.28,0.01980198,0.039082856,-5,0,-5
2016/2/2,sz.300059,39.45,37.62,71874505,0,39.305,40.6845,50.209,49.4168,55.4312,79432898.05,71189519.98,0.039525692,0.067901235,-5,0,-5
2016/2/3,sz.300059,39.41,39.45,48964214,0,38.98,40.3775,49.738,49.25473333,55.48115,77186341.9,70606424.9,0.02230869,0.0388666,-5,0,-5
2016/2/4,sz.300059,40.15,39.41,62717869,0,38.918,40.335,49.233,49.14006667,55.5201,78840672.6,69555779.68,0.01261034,0.038834951,-5,0,-5
2016/2/5,sz.300059,39,40.15,47523625,0,38.698,40.215,48.7758,48.97946667,55.5371,76588228.55,68723968.7,0.020100503,0.035855589,-5,0,-5
2016/2/15,sz.300059,38.62,39,36078915,0,38.487,40.151,48.384,48.84353333,55.5344,74083229.5,67563309.68,0.036778523,0.047558169,-5,0,-5
2016/2/16,sz.300059,41.71,38.62,89901174,0,38.947,40.1535,48.084,48.743,55.52755,73843166.35,67549900.5,0.066751918,0.081450094,-5,0,-5
2016/2/17,sz.300059,41.59,41.71,56321512,0,39.278,40.2585,47.7952,48.64946667,55.49855,73147310.2,67555189.92,0.007021792,0.02437276,-5,0,-5
2016/2/18,sz.300059,41.43,41.59,62774288,0,39.753,40.1825,47.4726,48.585,55.44505,69517661.95,67469509.82,0.016381766,0.048595117,-5,0,-5
2016/2/19,sz.300059,41.83,41.43,51549586,0,40.081,40.2105,47.129,48.55726667,55.3675,67555925.85,66760791.84,0.015784361,0.035058824,-5,0,-5
2016/2/22,sz.300059,42.52,41.83,78184263,0,40.571,40.19,46.8356,48.53413333,55.26475,66713048.6,67010531.4,0.004014168,0.032590856,-5,0,-5
